PS_PARTKEY,PS_SUPPKEY,PS_AVAILQTY,PS_SUPPLYCOST,PS_COMMENT
60001,2,1770,535.64,inal instructions. express accounts wake fluffily against the carefully final requests; express sheaves affix sly
60001,2508,1294,693.16,iously express packages haggle. quickly special deposits along the furiously bold foxes nag at t
60001,5014,6842,824.77,"ecial, express foxes haggle blithely slyly regular excuses. furiously regular deposits cajole furiously. slyly special accounts sleep slyly special instructions. evenly ironic ideas about "
60001,7520,2607,979.30, pinto beans haggle quickly near the final deposits. requests are slyly. quickly bold excuses b
60002,3,6686,746.49,fully furiously final packages. carefully special instructions haggle accor
60002,2509,1315,982.11,the blithely final requests cajole along the furiously pending requests. regular requests engage through
60002,5015,6872,998.50, furiously. ideas nag furiously carefully bold excuses. daringly final excuses are. slyly unusual deposits run. quickly bold reques
60002,7521,4460,717.47, final packages integrate silent foxes. deposits wake slyly. regular deposits a
60003,4,3166,779.45,"hely unusual requests about the slyly even accounts wake bold deposits. final courts cajole carefully against the silent, regular foxes. carefully regular deposits wake. unus"
60003,2510,1376,453.38,"nusual, ironic accounts. unusual patterns haggle fluffily fluffily ironic depo"
60003,5016,7948,801.78,usual asymptotes. fluffily pending foxes cajole furiously. blithely regular deposits are alongside of the carefully special instructions.
60003,7522,2466,87.30,deposits sleep. busily regular packages about the carefully final packages engage above the permanently bold accounts. fluffily regular courts haggle carefully final Tiresias. quickly s
60004,5,3365,13.12,nding accounts. express accounts wake furiously according to the fluffily pending theodolites. quickly regular orbits sleep. carefully regular packages sleep. slyly pending foxes according to the
60004,2511,391,14.86,the furiously bold deposits; slyly regular accounts are. slyly final deposits sleep blithely evenly
60004,5017,5554,293.13,"lithely regular, ironic deposits. regular requests need to sleep carefully around th"
60004,7523,9840,736.59,"en foxes use blithely according to the quickly bold requests-- express pinto beans haggle fluffily after the dogged, express excuses. furiously pending deposits sleep b"
60005,6,6613,314.60,"tegrate carefully. unusual, fluffy ideas haggle slyly about the bold deposits. even deposits according to the pending requests use f"
60005,2512,3891,961.29," requests cajole across the fluffily regular pinto beans. slyly even packages affix. furious instructions was carefully regular braids. ironic, final dependencie"
60005,5018,9882,590.02,braids. notornis wake. slyly silent packages above the furiously bold epitaphs sleep about the blithely special asymptotes. instructions integrate sly
60005,7524,8834,533.64,ites. slyly final deposits above the carefully bold packages nag blithely across the fluffily ironic packages. carefully regular foxes nod enticingly alongside 
60006,7,3026,7.95,nto beans after the ironic platelets sleep pinto beans. quickly brave id
60006,2513,4561,60.08,ng pinto beans doubt. fluffily express accounts wake. blithely final foxes cajole furiously furiously ironic instructions: fluffily bold accounts sleep slyly after the ironic the
60006,5019,7541,65.87,"ly along the unusual platelets. unusual, express pa"
60006,7525,1413,405.56,unts sleep quickly throughout the furiously unusual pinto beans. slyly even pinto beans x-ray carefully. silent instructions use according to the even packag
60007,8,466,279.60,ilent accounts sleep slyly fluffily ironic requests! slyly regular packages nag carefully. regular pint
60007,2514,6519,160.62,ng to the final packages integrate permanently despite the f
60007,5020,737,491.68,"d instructions boost slyly alongside of the pinto beans. pending, even asymptotes sleep carefully. finally unusual deposits cajole after the special sheaves. regular deposits cajole. regular"
60007,7526,4668,172.35,olites. carefully ironic pinto beans integrate quickly. instructions integrate. blithely regular notornis unwind. fluffily silent theodo
60008,9,1108,789.98,special dependencies against the carefully even accounts cajole ironic requests. ironic accounts use blithely slyly regular theodolites. furiou
60008,2515,585,569.86,"ccounts about the requests cajole carefully final, even accounts. blithely ironic platelets do cajole around the sly, silent theodolites: blithely unusual requests are about the carefully even "
60008,5021,7727,469.59,ly above the blithely pending deposits. carefully reg
60008,7527,4449,476.58,y slow patterns sleep. regular deposits are carefully silent requests. final dolphins wake along the slyly 
60009,10,7369,27.48,nts before the final pinto beans integrate blithely after the quickly regular accounts. foxes alongside of the slyly regular i
